hst_id,url
hst_13352_7g_wfc3_uvis_f814w_icdx7g,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_13352_7g_wfc3_uvis_f814w_icdx7g_drc.fits
hst_12444_6d_acs_wfc_f814w_jboi6d,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_12444_6d_acs_wfc_f814w_jboi6d_drc.fits
hst_10494_08_acs_wfc_f555w_j9c708,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_10494_08_acs_wfc_f555w_j9c708_drc.fits
hst_12443_2f_acs_wfc_f814w_jboe2f,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_12443_2f_acs_wfc_f814w_jboe2f_drc.fits
ibpb75020,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/ibpb75020_drc.fits
hst_12445_9b_acs_wfc_f814w_jbtm9b,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_12445_9b_acs_wfc_f814w_jbtm9b_drc.fits
idh212010,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/idh212010_drc.fits
jbhj47010,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/jbhj47010_drc.fits
hst_skycell-p1281x03y14_acs_wfc_f606w_all,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_skycell-p1281x03y14_acs_wfc_f606w_all_drc.fits
hst_10563_08_acs_wfc_f625w_j9c508,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_10563_08_acs_wfc_f625w_j9c508_drc.fits
jdxf23010,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/jdxf23010_drc.fits
jbtm8g010,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/jbtm8g010_drc.fits
hst_skycell-p1375x18y15_acs_wfc_f814w_all,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_skycell-p1375x18y15_acs_wfc_f814w_all_drc.fits
hst_9583_a8_acs_wfc_f435w_j8dna8,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_9583_a8_acs_wfc_f435w_j8dna8_drc.fits
hst_12063_59_acs_wfc_f814w_jbeo59,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_12063_59_acs_wfc_f814w_jbeo59_drc.fits
hst_skycell-p0842x01y15_wfc3_uvis_f555w_all,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_skycell-p0842x01y15_wfc3_uvis_f555w_all_drc.fits
hst_12445_am_acs_wfc_f814w_jbtmam,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_12445_am_acs_wfc_f814w_jbtmam_drc.fits
jeou04010,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/jeou04010_drc.fits
hst_13063_sb_acs_wfc_f775w_jc6hsb,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_13063_sb_acs_wfc_f775w_jc6hsb_drc.fits
jdkq03020,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/jdkq03020_drc.fits
hst_13352_7f_wfc3_uvis_f606w_icdx7f,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_13352_7f_wfc3_uvis_f606w_icdx7f_drc.fits
j91ja6010,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/j91ja6010_drc.fits
hst_10848_02_acs_wfc_f555w_j9om02,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_10848_02_acs_wfc_f555w_j9om02_drc.fits
jdkq09020,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/jdkq09020_drc.fits
jemn02020,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/jemn02020_drc.fits
hst_14786_08_acs_wfc_f606w_jd9g08,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_14786_08_acs_wfc_f606w_jd9g08_drc.fits
idd410010,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/idd410010_drc.fits
ic8h15030,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/ic8h15030_drc.fits
hst_10494_10_acs_wfc_f555w_j9c710,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_10494_10_acs_wfc_f555w_j9c710_drc.fits
hst_skycell-p1465x09y11_wfc3_uvis_f814w_all,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_skycell-p1465x09y11_wfc3_uvis_f814w_all_drc.fits
hst_10775_27_acs_wfc_f606w_j9l927,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_10775_27_acs_wfc_f606w_j9l927_drc.fits
hst_15849_18_wfc3_uvis_f606w_ie2k18,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_15849_18_wfc3_uvis_f606w_ie2k18_drc.fits
hst_11710_02_acs_wfc_f814w_jb2g02,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_11710_02_acs_wfc_f814w_jb2g02_drc.fits
hst_skycell-p2480x10y18_acs_wfc_f625w_all,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_skycell-p2480x10y18_acs_wfc_f625w_all_drc.fits
hst_13003_27_wfc3_uvis_f814w_ic2i27,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_13003_27_wfc3_uvis_f814w_ic2i27_drc.fits
jdn014010,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/jdn014010_drc.fits
