(160.0430669401784, 47.779499821838876)
(182.06787350064727, 65.17947644179088)
(10.898414775543333, 0.8520985040418545)
(36.454264433962855, 1.1248044002455428)
(41.65565140357192, -8.43443958905739)
(11.171777456411071, 40.94250292517191)
(308.2976869787975, 41.27490777589134)
(188.04237505791437, -1.1188445429875704)
(49.76957418396817, -0.048282659991612464)
(11.510675230330556, 40.704705274733435)
(212.30664963863939, 54.27324668495922)
(345.8826742573144, 0.6117257608537655)
(41.49508984152698, 1.3863595043098087)
(186.6735719909191, 31.261458985461342)
(21.401557726782407, -0.007779787619735729)
(23.605855921017753, 30.8095335349157)
(4.642954175144852, 16.460271323116302)
(66.6252542431722, 26.47497810028914)
(138.83490601575338, -0.9111053420250569)
(126.65329184613921, 43.07507702321541)
(131.48701523164272, 34.157261835144716)
(47.51842871323709, -0.937938139240495)
(182.06784250864663, 65.17947441481692)
(213.33167142359616, 54.534758254047624)
(137.74818781746328, 5.329002020314306)
(41.644730646903795, -0.24532319983032624)
(264.8444079082658, 68.94550145513053)
(355.3112947258997, 0.012844191986689795)
(54.730964625069134, -0.08795580838965167)
(40.43496790647445, -8.405889690691952)
(49.846604715915156, 41.499772630056874)
(40.66916196426578, -0.010177174768732923)
(145.6501523084518, 58.848002937606964)
(150.1217166042241, 1.6116426681810336)
(10.79897357158598, 41.39474649199003)
(151.81818943725253, 67.83164565541827)
(125.9211610348451, 24.301392347922413)
(29.757586638351906, -0.8194083328294233)
(40.20493631576869, -8.25136991768052)
(45.42110002404055, 1.2637786571999357)
(40.071730170934785, -1.6198904567565648)
(187.45351528897575, 11.389523884438717)
(173.25271794395238, -0.5216937152645748)
(161.21959008243925, 21.5325318598493)
(148.92557599793287, 69.6738839771413)
(24.62316082297769, -0.09318859522454087)
(150.50424903688162, 2.2459691870139125)
(215.16683066370481, 39.92862807513439)
(189.98308964496118, 10.176147919627525)
(149.97724685164857, 2.001818366751479)
(22.302193626113105, 1.2325503603754553)
(0.15841885161991134, 33.39181991886438)
(332.8418642977959, 0.1338548521377698)
(179.46662978542633, 55.47799250265283)
(11.647876792884952, 42.287422445127625)
(11.527564657914748, 40.709504615429836)
(162.839673360062, 20.35729363915202)
(43.16661518484724, 0.6732087074482515)
(7.9228815110091855, 37.56500407383607)
(12.271027512824823, 40.29351935495095)
(137.65449053853175, 42.838954006678065)
(179.79052960980016, 54.80708388844987)
(43.16661518484724, 0.6732087074482515)
(45.42110002404055, 1.2637786571999357)
(45.945250915894064, -1.109694032083124)
(41.50346864254552, -7.585313854017968)
(1.231358490676208, -1.0374363205885941)
(218.035882308343, 63.26527397447054)
(43.218230553985954, -1.2700632232653106)
(10.9734020611602, 41.37385150881297)
(15.92864025404113, -0.4108261894296321)
(194.66153936002075, 27.381301580884145)
(162.1082479373176, 12.66366547319278)
(53.02636213449621, 47.79385179418757)
(150.6734784364778, 2.5944104206607075)
(1.231358490676208, -1.0374363205885941)
(10.89843888919205, 0.8521398125864633)
(40.66947041625662, -0.004753782776331899)
(36.493183691137276, 0.9082538518905998)
(11.940105820240953, -0.008104639958635853)
(27.37769056262365, -0.8151546341328872)
(11.29198375065355, 41.801482921445675)
(39.96767883261475, -1.5776707084773989)
(40.886834556145196, -1.1269417816834881)
(11.400630455748818, 42.118223958489395)
(83.91978723662768, -5.520735068475204)
(45.64366476364841, 0.10396596960912974)
(185.4790402169046, 4.459718865056814)
(189.27508837414823, 13.148505355816923)
(43.20313866694437, 0.662902819013968)
(179.82333846776322, 12.261975965394157)
(46.16220083602339, -0.2344025466652794)
(8.9465434868403, 18.500710475563437)
(11.3580805462176, 41.542107666274575)
(40.68243459303014, -0.019620104192343363)
(49.78453840303631, -0.04559790589441268)
(144.09658677544311, 30.206651406832783)
(150.23264627362343, 2.240057224067769)
(177.39727082045852, 22.40736751258804)
(150.2698428664558, 2.4494992464306335)
(149.8164091037903, 1.7194673334666104)
(20.933212285415735, 0.7427643052598656)
(52.56568979579284, -0.3463274531716218)
(8.10614469304247, 39.668524079284666)
(259.5340788022546, 59.58155231039324)
(46.13755288903745, -0.19171382176928342)
(151.31597171092514, 40.257970574671695)
(46.14873541173021, -0.20690395837233627)
(18.263797813672834, 2.8440691743188324)
